"V2","V3","V5","V6"
"","","Koek- en banketbakkers","B"
"","","Koek- en banketbakkers","C"
"","","Koek- en banketbakkers","D"
"","","Koks en kooksters","A"
"","","Koks en kooksters","B"
"","","Koks en kooksters","C"
"","","Koks en kooksters","D"
"","c","Beetwortelsuikerfabrieken en suikerraffinaderijen",""
"","","Fabricage van beetwortelsuiker","A"
"","","Suikerraffinadeurs","A"
"","","Suikerraffinadeurs","B"
"","","Suikerraffinadeurs","C"
"","","Suikerraffinadeurs","D"
"","d","Aardappelmeel- een stroopfabrieken, stijfsel, enz.",""
"","","Fabricage van siroop","A"
"","","Fabricage van siroop","D"
"","","Fabricage van stijfsel","A"
"","e","Cacao- en chocoladefabrieken",""
"","","Fabricage van cacao","A"
"","","Fabricage van cacao","C"
"","","Fabricage van cacao","D"
"","","Fabricage van chocolaad","A"
"","","Fabricage van chocolaad","C"
"","","Fabricage van chocolaad","D"
"","f","Koffie (bewerking van), cichorei, koffiestroop, enz.",""
"","","Fabricage van cichorei en koffiestroop","D"
"","","Koffiebranders","A"
"","","Koffiebranders","B"
"","","Koffiebranders","C"
"","","Koffiebranders","D"
"","","Koffiepellers","C"
"","","Koffiepellers","D"
"","","Koffiesorteerders","A"
"","","Koffiesorteerders","D"
"","g","Verduurzaamde levensmiddelen",""
"","","Fabricage van comestibles","A"
"","","Fabricage van comestibles","C"
"","","Fabricage van comestibles","D"
"","","Fabricage van mosterd","A"
"","","Fabricage van mosterd","D"
"","","Fabricage van oranjesnippers","A"
"","","Fabricage van oranjesnippers","D"
"","","Fabricage van verduurzaamde levensmiddelen","A"
"","","Fabricage van verduurzaamde levensmiddelen","D"
"","h","Vleeschbewerking",""
"","","Fabricage van vleeschwaren","A"
"","","Fabricage van vleeschwaren","D"
"","","Paardenslachters","A"
"","","Paardenslachters","D"
"","","Poeliers","A"
"","","Poeliers","D"
"XVI","","",""
"","","Spekslagers","A"
"","","Spekslagers","B"
"","","Spekslagers","C"
"","","Spekslagers","D"
"","","Vleeschhouwers","A"
"","","Vleeschhouwers","B"
"","","Vleeschhouwers","C"
"","","Vleeschhouwers","D"
"","I","Vischbewerking",""
"","","Haringpakkers","D"
"","","Stokvischbeukers","D"
"","","Vischdroogers","D"
"","","Vischrookers","A"
"","","Vischrookers","D"
"","","Vischschoonmakers","D"
"","K","Boter- en kaasbereiding",""
"","","Fabricage van boter","A"
"","","Fabricage van boter","B"
"","","Fabricage van boter","C"
"","","Fabricage van boter","D"
"","","Fabricage van boter en kaas","B"
"","","Fabricage van boter en kaas","D"
"","","Fabricage van kunstboter","A"
"","","Fabricage van kunstboter","B"
"","","Fabricage van kunstboter","C"
"","","Fabricage van kunstboter","D"
"","","Fabricage van hulpmiddelen voor de zuivelbereiding","A"
"","L ","Vruchtsappen, mineraalwater, ijsbereiding",""
"","","Fabricage van kunstijs","A"
"","","Fabricage van kunstijs","B"
"","","Fabricage van kunstijs","C"
"","","Fabricage van kunstijs","D"
"","","Fabricage van minerale wateren","A"
"","","Fabricage van minerale wateren","B"
"","","Fabricage van minerale wateren","C"
"","","Fabricage van minerale wateren","D"
"","","Fabricage van vruchtensappen","A"
"","M","Jenever- en likeurstokerijen, enz.",""
"","","Branders (fabricage van alcohol)","A"
"","","Branders (fabricage van alcohol)","C"
"","","Branders (fabricage van alcohol)","D"
"","","Distillateurs","A"
"","","Distillateurs","B"
"","","Distillateurs","C"
"","","Distillateurs","D"
"","","Fabricage van gist","A"
"","","Fabricage van gist","C"
"","","Fabricage van gist","D"
"","","Fabricage van likeuren","A"
"","","Fabricage van likeuren","B"
"","","Fabricage van likeuren","C"
"","","Fabricage van likeuren","D"
"","N","Brouwerij, azijnmakerij, enz.",""
"","","Bierbottelaars","A"
"","","Bierbottelaars","D"
"XVI","","",""
"","","Bierbrouwers","A"
"","","Bierbrouwers","B"
"","","Bierbrouwers","C"
"","","Bierbrouwers","D"
"","","Fabricage van azijn","A"
"","","Fabricage van azijn","C"
"","","Fabricage van azijn","D"
"","","Mouters","A"
"","","Mouters","C"
"","","Mouters","D"
"","","Moutmolenaars","A"
"","","Moutmolenaars","D"
"","o","Tabaksverwerking",""
"","","Fabricage van sigaren en tabak","A"
"","","Fabricage van sigaren en tabak","B"
"","","Fabricage van sigaren en tabak","C"
"","","Fabricage van sigaren en tabak","D"
"","","Fabricage van snuif","A"
"","","Tabakskervers","A"
"","","Tabakskervers","D"
"XVII","","Landbouwbedrijven",""
"","a","Land- of akkerbouw",""
"","","Directeuren cultuurmaatschappij","B"
"","","Landbouwers","A"
"","","Landbouwers","B"
"","","Landbouwers","C"
"","","Landbouwers","D"
"","","Planters in Indië","A"
"","","Tabaksplanters (verbouwers) ","A"
"","","Tabaksplanters (verbouwers) ","B"
"","b","Veeteelt, (incl. alle dieren,- paardenfokkerij, vogelteelt, enz.)",""
"","","Hoenderfokkers","A"
"","","Hondenscheerders","D"
"","","Pluimgraven","D"
"","","Schaapherders","D"
"","","Veefokkers","A"
"","","Veefokkers","D"
"","","Veehouders (melkboeren)","A"
"","","Veehouders (melkboeren)","B"
"","","Veehouders (melkboeren)","D"
"","c","Tuinbouw, warmoezerij, ooft- en bloemkweekerij (incl. bollencultuur)",""
"","","Bloemisten","A"
"","","Bloemisten","B"
"","","Bloemisten","D"
"","","Bloembollenkweekers","A"
"XVII","","",""
"","","Tuinlieden (warmoeziers)","A"
"","","Tuinlieden (warmoeziers)","B"
"","","Tuinlieden (warmoeziers)","C"
"","","Tuinlieden (warmoeziers)","D"
"","d","Houtteelt (incl. boschbouw.)",""
"","","Boomkweekers","A"
"","","Boomkweekers","D"
"XVIII","","Visscherij (incl vischkweekerij) en jacht.",""
"","a","Zeevisscherij",""
"","","Haringvisschers","C"
"","","Haringvisschers","D"
"","","Nettendrogers","D"
"","","Oesterputhouders","A"
"","","Oesterputhouders","B"
"","","Zeevisschers","A"
"","","Zeevisschers","D"
"","b","Visscherij in binnenwateren.",""
"","","Visschers","A"
"","","Visschers","D"
"","","Zalmvisschers","B"
"","","Zalmvisschers","D"
"","c","Jacht.",""
"","","Jachtopzieners","C"
"","","Jagers","D"
"XIX","","WARENHANDEL.",""
"","A","Handel in grondstoffen.",""
"","","Arbeiders","C"
"","","Arbeiders","D"
"","","Depothouders","B"
"","","Kooplieden","A"
"","","Kooplieden","B"
"","","Winkeliers","A"
"","","Winkeliers","B"
"","","Winkelbedienden","C"
"XIX","","",""
"","b","Handel in voorwerpen van kleeding",""
"","","Arbeiders","D"
"","","Costumiers (verhuurders van costumen)","A"
"","","Depothouders","B"
"","","Doopgoedverhuurders","A"
"","","Kooplieden","A"
"","","Kooplieden","B"
"","","Winkeliers","A"
"","","Winkeliers","B"
"","","Winkelbedienden","C"
"","c","Handel in voorwerpen van voeding en genot",""
"","","Arbeiders","C"
"","","Arbeiders","D"
"","","Broodventers","D"
"","","Commissarissen bij de graanwerkers","C"
"","","Depothouders","B"
"","","Ezelinnenhouders","A"
"","","Kooplieden","A"
"","","Kooplieden","B"
"","","Winkeliers","A"
"","","Winkeliers","B"
"","","Winkelbedienden","C"
"","d","Handel in voorwerpen van woning",""
"","","Arbeiders","D"
"","","Beddenverhuurders","A"
"","","Depothourders","B"
"","","Kooplieden","A"
"","","Kooplieden","B"
"","","Winkeliers","A"
"","","Winkeliers","B"
"","","Winkelbedienden","C"
"","e","Handel in boek- en kunstwerken (incl. dagbladen)",""
"","","Arbeiders","D"
"","","Boekenverhuurders","A"
"","","Courantenverhuurders","A"
"","","Directeuren van dagbladen","B"
"","","Kooplieden","A"
"","","Kooplieden","B"
"","","Uitgevers","A"
"","","Uitgevers","B"
"","","Winkeliers","A"
"","","Winkeliers","B"
"","","Winkelbedienden","C"
"","f","Handel in luxe artikelen",""
"","","Arbeiders","D"
"","","Depothouders","B"
"","","Kooplieden","A"
"","","Kooplieden","B"
"","","Verhuurders van diamantslijpersmolens","A"
"","","Verhuurders van pianos","A"
"","","Winkeliers","A"
"","","Winkeliers","B"
"","","Winkelbedienden","C"
"","g","Handel in levend vee en gevogelte",""
"","","Arbeiders","D"
"","","Kooplieden","A"
"","","Kooplieden","B"
"","","Winkeliers","A"
"","","Winkelbedienden","C"
"XIX","","",""
"","h","Handel in andere waren",""
"","","Arbeiders","C "
"","","Arbeiders","D"
"","","Depothouders","B"
"","","Handelsmaatschappijen","B"
"","","Kooplieden","A"
"","","Kooplieden","B"
"","","Kramers en rondventers","A"
"","","Kramers en rondventers","D"
"","","Magazijn- en pakhuisknechts","C"
"","","Magazijn- en pakhuisknechts","D"
"","","Ondernemers van openbare verkoopingen","A"
"","","Orgelverhuurders","A"
"","","Tagrijnen (oudroestverkoopers) ","A"
"","","Tagrijnen (oudroestverkoopers) ","B"
"","","Tagrijnen (oudroestverkoopers) ","D"
"","","Uitdragers","A"
"","","Uitdragers","D"
"","","Verhuurders van verschillende goederen","A"
"","","Voddenrapers","D"
"","","Water- en vuurverkoopers","A"
"","","Water- en vuurverkoopers","D"
"","","Winkeliers","A"
"","","Winkeliers","B"
"","","Winkelbedienden","C"
"XX","","Verkeerswezen",""
"","a","Spoor en tram",""
"","","Arbeiders","C"
"","","Arbeiders","D"
"","","Beambten","C"
"","","Beambten","D"
"","","Directeuren","B"
"","","Inspecteurs","B"
"","","Koetsiers","D"
"","","Machinisten","C"
"","b","Andere vervoermiddelen te land",""
"","","Beambten","C"
"","","Commissarissen van diligences","B"
"","","Huurkoetsiers","A"
"","","Huurkoetsiers","B"
"","","Huurkoetsiers","D"
"","","Karrenverhuurders","A"
"","","Voerlieden","A"
"","","Voerlieden","C"
"","","Voerlieden","D"
"","c","Zeevaart",""
"","","Arbeiders stoomvaart","D"
"","","Ballastschikkers","D"
"","","Cargadoors","A"
"","","Cargadoors","B"
"XX","","",""
"","","Commissarissen van stoombooten","B"
"","","Convooiloopers","A"
"","","Directeuren ballastmaatschappij","B"
"","","Directeuren van stoombootonderneming","B"
"","","Gezagvoerders","A"
"","","Gezagvoerders","B"
"","","Inspecteurs stoomvaartmaatschappij","B"
"","","Kwartiermeesters (zeevaart)","C"
"","","Loodsen (particuliere)","A"
"","","Machinisten (stoomvaart)","C"
"","","Matrozen","D"
"","","Ondernemers van stoombootdiensten","A"
"","","Ondernemers van stoombootdiensten","B"
"","","Reeders","A"
"","","Reeders","B"
"","","Reeders","C"
"","","Stokers","D"
"","","Stuurlieden","C"
"","d","Binnenscheepvaart",""
"","","Bootenverhuurders","A"
"","","Bootwerkers","C "
"","","Bootwerkers","D"
"","","Commissarissen van beurtveeren","B"
"","","Gezagvoerders","A"
"","","Gezagvoerders","B"
"","","Matrozen","D"
"","","Schippers","A"
"","","Schippers","B"
"","","Schippers","C"
"","","Schippers","D"
"","","Schuitenjagers","D"
"","","Schuitenverhuurders","A"
"","","Stuurlieden","C"
"","","Veerlieden","A"
"","","Veerlieden","D"
"","e","Posterij, telegraphie, telephonie",""
"","","Brievenbestellers","D"
"","","Ingenieurs","C"
"","","Postambtenaren en beambten","B"
"","","Postambtenaren en beambten","C"
"","","Postambtenaren en beambten","D"
"","","Telegraphieambtenaren en beambten","B"
"","","Telegraphieambtenaren en beambten","C"
"","","Telegraphieambtenaren en beambten","D"
"","","Telgrambestellers","D"
"","","Telephoonbeambten","C"
"","","Telephoonbeambten","D"
"","f","Expeditie, vrachters, bestellers, sjouwerlieden",""
"","","Bestelhuishouders en dienstverrichting","A"
"","","Bestelhuishouders en dienstverrichting","B"
"","","Bestelhuishouders en dienstverrichting","C"
"","","Bestelhuishouders en dienstverrichting","D"
"","","Emballeurs","A"
"","","Emballeurs","D"
"","","Expediteurs","A"
"","","Expediteurs","B"
"","","Expediteurs","C"
"","","Expediteurs","D"
"","","Kruiers","A"
"","","Kruiers","D"
"","","Loopknechts en pakkendragers","D"
"XX","","",""
"","","Scheepsbevrachters en lichters","A"
"","","Scheepsbevrachters en lichters","D"
"","","Sjouwerslieden","C"
"","","Sjouwerslieden","D"
"","","Turfdragers","D"
"","g","Logement- en koffiehuishouderij, tapperij, enz.",""
"","","Bierhuishouders","A"
"","","Bierhuishouders","B"
"","","Buffetchefs en juffrouwen","C"
"","","Commensalenhouders","A"
"","","Gaarkeukenhouders","B"
"","","Hotel- en logementhouders","A"
"","","Hotel- en logementhouders","B"
"","","Koffiehuishouders","A"
"","","Koffiehuishouders","B"
"","","Kellners en kelnerinnen","D"
"","","Restaurateurs","A"
"","","Restaurateurs","B"
"","","Schafthuishouders","A"
"","","Tappers (incl. herbergiers)","A"
"","","Tappers (incl. herbergiers)","B"
"","h","Andere bedrijven",""
"","","Bewaarsters van cabinets d'aisance","D"
"","","Boden (geen beambten in openbare dienst)","D"
"","","Couriers en gidsen","D"
"","","Ezelverhuurders","A"
"","","Hofmeesters op schepen","C"
"","","Houtvlotters","A"
"","","Houtvlotters","D"
"","","Kegeljongens","D"
"","","Kioskjuffrouwen","C"
"","","Magazijnmeesters (scheepvaart) ","C"
"","","Parapluibewaarders","D"
"","","Ploegbazen","C"
"","","Porders","A"
"","","Porders","D"
"","","Scheepscontroleurs","C"
"","","Veemhouders","A"
"","","Veemhouders","B"
"","","Wakers voor schepen en booten","D"
"XXI","","Crediet- en bankwezen",""
"","","Agenten van bankinstellingen","C"
"","","Bankiers","A"
"","","Bankiers","B"
"","","Beleenbankhouders en personeel aan banken van leening (ook gemeentelijke) ","A"
"","","Beleenbankhouders en personeel aan banken van leening (ook gemeentelijke) ","B"
"","","Beleenbankhouders en personeel aan banken van leening (ook gemeentelijke) ","C"
"","","Beleenbankhouders en personeel aan banken van leening (ook gemeentelijke) ","D"
"XXI","","",""
"","","Directeuren van bank- en credietvereenigingen","B"
"","","Kassiers","D"
"","","Kassiers","C"
"XXII","","Verzekeringswezen",""
"","a","Levensverzekeringen",""
"","","Agenten   ","B"
"","","Directeuren  ","B"
"","","Inspecteuren","C"
"","b","Zieken- en begrafenisfondsen",""
"","","Agenten","B"
"","","Controleurs","C"
"","","Directeuren","B"
"","","Inspecteurs","C"
"","d","Andere verzekeringen",""
"","","Agenten","B"
"","","Assurandeurs","A"
"","","Assurandeurs","B"
"","","Commissionnairs","B"
"","","Directeuren","B"
"","","Inspecteuren","C"
"","","Makelaars","B"
"XXIII","","Tusschenhandel (Commissiehandel, kassierderij, makelaarij; enz.)",""
"","a","Grondstoffen",""
"","","Agenten","B"
"","","Commissionnairs","B"
"","","Makelaars","B"
"","b","Voorwerpen van kleeding",""
"","","Agenten","B"
"","","Commissionnairs","B"
"","","Makelaars","B"
"","c","Voorwerpen van voeding en genot",""
"","","Agenten","B"
"","","Commissionnairs","B"
"","","Makelaars","B"
"XXIII","D.","Voorwerpen van woning",""
"","","Agenten","B"
"","","Commissionnairs","B"
"","","Makelaars","B"
"","E.","Boek- en kunstwerken. (incl. dagbladen).",""
"","","Agenten","B"
"","","Commissionnairs","B"
"","F.","Voorwerpen van luxe.",""
"","","Agenten","B"
"","","Makelaars","B"
"","G.","Levend vee en gevogelte.",""
"","","Agenten","B"
"","","Commissionnairs","B"
"","H.","Andere waren.",""
"","","Agenten","B"
"","","Commissionnairs in effecten","B"
"","","Commissionnairs","B"
"","","Debiteurs Staatsloterij","A"
"","","Exporthandelaars","A"
"","","Exporthandelaars","B"
"","","Geldwisselaars","A"
"","","Geldwisselaars","C"
"","","Makelaars","B"
"","","",""
"","","",""
"","","",""
"XII","","Hulpbedrijven van den handel.",""
"","A.","Grondstoffen",""
"","","Houtfactoren","A"
"","","Reizigers","C"
"","","Steenkolenfactoren","A"
"","B.","Voorwerpen van kleeding.",""
"","","Reizigers","C"
"","C.","Voorwerpen van voeding en genot.",""
"","","Graanfactoren","A"
"","","Reizigers","C"
"","D. ","Voorwerpen van woning.",""
"","","Reizigers","C"
"","E.","Boek- en kunstwerken (incl. dagbladen).",""
"","","Advertentieplaatser","A"
"","","Colporteur","C"
"","","Reizigers","C"
"","F.","Voorwerpen van luxe",""
"","","Reizigers","C"
"","G.","Levend vee en gevolgelte.",""
"","","Reizigers","C"
"","H.","Andere.",""
"","","Directeuren van verhuurkantoren","B"
"","","Houders van informatiekantoren","A"
"","","Ontvangers venduhuis","C"
"","","Omroepers","D"
"","","Reizigers","C"
"","","Uitroepers bij verkoopingen","D"
"","","Vendumeesters","C"
"","","Vendumeesters","D"
"","","Verhuurders van zeevolk.","A"
"","","Wegers","C"
"","","",""
"","","",""
"","","",""
"XXV","","Vrije beroepen.",""
"","","a. Geneeskundigen",""
"","","b. Vroedvrouwen",""
"","","c. Bakers",""
"","","d. Veeartsen",""
"","","e. Advocaten en procureurs",""
"","","f. ingenieuws en architecten",""
"","","g. Kunstenaars en letterkundigen",""
"","","h. Administrateurs, rentmeesters enz.",""
"","","i. Boekhouders, schrijvers, copiisten.",""
"","","k. Kunstenmakers, goochelaars, straatmuzikanten, enz.",""
"","","m. Andere beroepen tot wetenschap en kunst behoorende.",""
"","","n. Andere beroepen tot de publieke vermakelijkheden behoorende",""
"","","o. Andere beroepen niet onder een der vorige te rangschikken.",""
"","","",""
"","","",""
"XXVI","","Onderwijs (excl. Openbaar onderwijs).",""
"","","",""
"","","Bewaarschoolhouderessen (bijzondere)",""
"","","Dansonderwijzers",""
"","","Directeuren ambachtscholen",""
"","","Gouverneurs en gouvernantes",""
"","","Gymnastiekonderwijzers",""
"","","Huisonderwijs",""
"","","Kostschoolhouders",""
"","","Kweekelingen (bijzonder bewaarschool)",""
"","","id. (lager onderwijs)",""
"","","Leeraren (bijzondere scholen)",""
"","","id. (privat)",""
"","","Muziekonderwijzers",""
"","","id. (bijzondere scholen)",""
"","","",""
"","","",""
"XXVII","","Verpleging of verzorging van armen, ouden, zieken, gebrekkigen, invaliden, krankzinnigen (incl. rijksinrichting).",""
"","","Beambten in gestichten tot verpleging.",""
"","","Directeuren toevluchtoord voor behoeftigen",""
"","","Directeuren gestichten of inrichtingen tot verpleging of verzorging",""
"","","Huismeesters in gestichten tot verpleging of verzorging",""
"","","Krankzinnigenoppassers (in gestichten)",""
"","","id. (andere)",""
"","","Suppoosten",""
"","","Verpleging van verlaten kinderen",""
"","","Weesvaders en weesmoeders",""
"","","Ziekenoppassers (in gestichten.)",""
"","","id. (buiten id.)",""
"","","",""
"","","",""
"XXVIII","","Huiselijke diensten (huis- en stalbedienden e. d.)",""
"","","Rotteliers",""
"","","Dienstboden",""
"","","Huisbewaarders",""
"","","Huishoudsters",""
"","","koetsiers (heerendienst)",""
"","","Oppassers (niet in gesticht tot verpleging of verzorging)",""
"","","Portiers (niet in openbare dienst)",""
"","","Schoonmaaksters",""
"","","Stalknechts",""
"","","",""
"","","",""
"XXIX","","Losse werklieden en andere niet in een bepaald beroep arbeidenden.",""
"","","Arbeiders zonder bepaald beroep (losse).",""
"","","",""
"","","",""
"","","In dienst van den Staat (excl. Posterij, telegraphie, telefonie, landsdrukkerij en ander nijverheidsbedrijf).",""
"","","a. Algem. Bestuur (departementen enz.)",""
"","","b. Diplomatie en consulaatwezen",""
"","","c. Rechts- en politiewezen (incl. notariaat)",""
"","","d. Onderwijs(toezicht, onderwijzend personeel)",""
"","","e. Sanitaire politie, toezicht op fabrieksarbeid, stoomwezen",""
"","","f. Krijgswezen (incl. genees- cn veeartsenijkundige dienst, (excl. Werkplaatsen van leger of marine",""
"XXX","","g. Financiewezen (Rekenkamer, belastingen, kadaster, muntwezen enz)",""
"","","h. Waterstaat",""
"","","i. Loods-, haven- en bakenwezen",""
"","","k. Koloniale ambtenaren (met verlof in Nederlands)",""
"","","l. Andere ambten of bedieningen",""
"","","",""
"","","",""
"XXXI","","In dienst van eene Provincie.",""
"","","a. Provinciale griffiën (incl. Commissarissen des Konings)",""
"","","b. Waterstaat",""
"","","c. Andere ambten of bedieningen",""
"","","",""
"","","",""
"XXXII","","In dienst van eene gemeente (excl. Gasfabrieken, dienst der openbare werken en ander nijverheidsbedrijf.",""
"","","a. Gemeente-secretariën (incl. burgemeesters)",""
"","","b. Politie en brandweer",""
"","","c. Financiën en belastingen",""
"","","d. Onderwijs (toezicht, onderwijzend personeel)",""
"","","e. Andere ambten of bedieningen.",""
"","","",""
"","","",""
"XXXIII","","In dienst van een waterschap.",""
"","","In dienst van een waterschap.",""
"","","",""
"","","",""
"XXXIV","","In dienst van een kerkgenootschap of kerkelijke gezindte.",""
"","A.","Bedienaren van den godsdienst.",""
"","","Geestelijke protestant",""
"","","id. katholiek",""
"","","id. israëliet",""
"","","id. andere gezindten",""
"","","",""
"","B.","Godsdienstonderwijzers en andere daarmede in rang gelijk te stellen betrekkingen.",""
"","","Godsdienstonderwijzers protestant",""
"","","id. katholiek",""
"","","id. israëliet",""
"","","id. andere gezindten",""
"","C.","Andere ambten of bedieningen.",""
"","","Andere ambten protestant",""
"","","id. katholiek",""
"","","id. israëliet",""
"","","id. andere gezindten",""
"","","",""
"","","",""
"XXXV","","Gepensionneerden (uit openbare, kerkelijke of particuliere kassen).",""
